gender,mother_job,father_job,internet,freetime,absences,grade_1,grade_2,G3,school_support,family_support,extra_paid_class,extracurricular,higher_edu,romantic_rel
1,4,0,1,5,0,15,15,16,0,1,0,1,1,1
1,2,2,1,3,0,10,11,12,0,0,0,1,1,0
1,2,2,1,4,2,12,13,14,0,1,1,0,1,0
0,2,2,0,5,2,10,9,8,0,1,0,1,1,0
1,4,3,1,4,1,14,15,16,0,1,0,1,1,0
1,2,4,1,4,6,14,14,14,0,1,0,1,1,1
0,3,1,1,3,2,12,12,12,1,1,1,1,1,0
0,0,2,0,3,8,14,13,12,1,1,1,1,1,0
0,2,2,1,3,20,9,10,10,0,1,0,1,1,1
1,4,2,1,4,8,11,12,12,0,1,0,0,1,1
1,3,4,1,3,1,16,16,16,0,1,0,1,1,0
1,3,3,1,4,0,8,9,10,1,1,0,0,1,0
0,2,0,1,3,14,10,10,10,1,0,0,1,1,0
0,2,2,1,2,6,9,10,8,1,1,1,1,1,1
0,2,3,1,3,9,12,12,12,0,1,0,0,1,0
1,1,3,1,2,3,18,18,18,0,0,0,1,1,0
1,4,2,0,3,3,13,14,14,0,1,1,0,1,0
0,3,4,1,4,2,10,10,10,1,1,0,1,1,0
0,3,3,1,3,1,13,13,13,0,1,1,0,1,0
0,1,2,1,3,1,14,14,14,0,1,1,0,1,0
1,1,1,0,5,5,10,10,10,0,0,0,0,1,0
0,3,3,1,3,0,10,11,12,1,1,1,0,1,0
0,2,2,1,3,3,12,12,13,0,0,1,0,1,0
0,2,2,1,3,5,10,11,11,0,0,1,1,1,1
0,3,3,1,3,0,14,14,15,0,1,1,1,1,0
1,4,1,0,2,6,14,15,16,0,1,0,1,1,0
1,2,0,1,3,1,12,12,12,1,1,0,1,1,0
0,3,2,1,2,2,16,16,16,0,1,0,0,1,0
0,1,4,0,4,3,14,14,14,0,1,0,1,1,0
0,3,3,1,5,3,10,9,14,1,1,0,1,1,1
0,2,3,1,4,2,10,12,10,1,0,0,1,1,0
0,4,1,1,4,1,12,11,11,1,1,1,1,1,0
0,3,3,1,4,0,12,11,11,1,0,0,1,1,1
0,4,3,1,4,2,16,15,16,0,1,0,1,1,0
1,2,3,1,3,2,12,12,12,0,1,0,1,1,1
0,3,2,1,3,2,8,8,8,1,1,1,0,1,0
0,1,3,1,1,1,10,10,10,1,1,1,0,1,0
0,2,2,1,4,9,16,16,16,0,1,0,0,1,0
1,2,2,1,3,1,13,13,13,0,1,1,0,1,0
1,2,2,1,3,0,10,10,10,0,0,0,0,1,0
0,2,2,1,3,2,10,8,8,1,1,0,0,1,1
1,2,2,0,3,1,12,12,14,0,0,0,1,1,0
0,2,3,1,3,29,11,12,11,1,1,1,1,1,0
1,4,2,1,3,3,10,10,10,0,1,1,1,1,0
1,4,2,1,4,4,12,11,10,0,0,0,1,1,0
0,2,2,1,2,0,12,12,12,0,0,1,0,1,1
1,2,2,1,5,1,8,8,10,1,1,0,1,0,0
1,2,2,1,4,12,8,8,8,1,1,0,1,0,0
0,0,2,1,4,13,8,8,8,0,1,0,0,1,0
1,2,3,1,2,1,10,12,12,1,1,1,1,1,1
1,2,2,1,3,3,10,10,10,1,0,1,0,1,0
0,3,2,1,4,7,10,8,8,0,1,1,0,1,0
1,3,3,1,3,3,14,14,14,0,0,1,1,1,0
0,2,2,1,3,2,11,11,11,0,1,0,1,1,0
0,3,3,1,4,5,10,10,10,0,0,1,0,1,1
0,0,2,0,3,5,10,9,8,0,1,0,0,1,0
0,2,2,1,3,4,14,14,14,0,1,0,1,1,0
1,3,2,1,4,9,12,10,10,0,0,1,1,1,0
1,4,1,0,1,12,8,8,8,0,1,0,0,1,0
0,2,2,1,3,1,8,9,10,0,1,1,0,1,1
0,3,2,1,5,5,15,15,16,0,0,1,1,1,0
0,2,2,0,3,2,10,10,9,1,1,0,0,1,0
0,4,3,1,3,1,12,12,12,0,1,1,1,1,0
1,3,1,1,3,4,11,12,13,0,1,0,1,1,0
0,0,2,1,1,3,10,12,12,1,1,1,1,1,0
1,3,2,1,3,4,10,13,13,1,1,0,1,1,0
0,2,2,0,3,1,10,10,11,0,1,1,0,1,1
0,2,2,1,3,5,12,14,14,0,0,0,1,1,0
0,2,0,1,3,1,10,11,10,1,1,1,0,1,0
1,3,3,1,5,13,8,8,6,1,1,1,1,1,0
1,3,4,1,4,0,16,16,16,0,1,0,1,1,1
1,3,2,1,3,3,11,13,13,0,1,0,1,1,0
0,3,2,1,3,21,9,8,8,1,1,1,0,1,0
1,3,2,1,4,0,16,17,17,0,1,1,1,1,0
0,2,1,0,3,10,10,10,10,1,0,0,0,1,0
0,2,2,1,1,6,8,9,9,1,1,1,0,1,0
1,3,2,1,3,3,14,16,16,0,1,0,1,1,0
1,3,2,1,2,1,14,15,16,0,1,0,1,1,0
1,2,2,1,3,7,11,12,12,0,1,1,1,1,1
0,1,1,1,4,3,14,15,15,0,1,1,1,1,1
1,4,4,1,5,5,16,16,16,0,0,0,1,1,0
0,3,2,1,1,2,9,10,10,1,1,0,1,1,0
0,0,2,1,1,9,9,12,12,1,0,0,1,1,0
1,4,2,1,5,10,18,18,18,0,0,0,0,1,0
1,1,3,1,4,6,10,9,10,0,0,0,1,1,1
1,4,4,1,4,4,16,14,15,0,1,0,1,1,0
1,4,4,1,4,9,12,12,12,0,1,0,1,1,0
1,2,4,0,4,3,14,14,15,0,1,0,1,1,0
1,2,3,1,4,3,14,14,14,0,0,0,1,1,0
1,2,2,1,2,17,10,9,10,0,1,0,1,1,0
1,2,2,1,4,4,14,13,14,0,0,0,0,1,0
0,0,3,1,2,1,15,14,14,0,0,0,0,1,0
1,3,3,1,5,6,15,14,14,0,1,1,1,1,0
0,2,1,1,2,2,14,12,13,0,1,1,1,1,1
1,1,2,1,4,11,13,12,13,0,1,0,1,1,0
0,2,2,1,4,0,10,9,10,0,0,1,0,1,1
1,3,3,1,5,1,11,11,10,1,0,0,0,1,0
0,2,2,1,3,0,8,10,11,1,0,0,1,1,1
0,0,2,0,4,1,8,9,10,0,1,0,0,0,0
1,4,4,1,5,8,16,16,16,0,0,1,1,1,0
0,3,4,1,2,0,11,6,6,0,1,0,0,1,1
0,0,2,1,3,3,10,6,6,0,1,0,1,1,1
0,2,2,1,4,7,12,12,12,0,1,0,0,1,1
0,3,2,1,2,14,14,12,12,0,0,0,0,1,0
1,0,4,0,3,1,10,6,6,0,1,0,0,1,1
0,3,0,1,3,2,12,7,8,0,1,0,1,1,1
1,0,2,0,4,1,10,4,5,0,0,0,0,1,0
0,2,2,1,3,2,6,4,5,0,1,0,1,1,1
1,3,2,0,4,0,12,11,11,0,0,0,0,1,1
0,4,4,1,3,3,14,15,14,0,0,0,1,1,0
1,4,3,1,2,3,8,10,6,1,1,0,0,1,0
1,3,3,1,3,6,10,10,10,0,1,0,1,1,0
0,4,3,1,2,2,11,12,12,0,1,1,1,1,0
0,0,0,1,4,3,12,12,12,0,0,0,0,1,0
1,2,2,1,4,0,7,4,5,0,1,0,0,1,0
1,2,2,1,4,11,7,4,3,0,1,0,0,1,0
0,2,3,1,4,0,10,12,12,0,1,1,0,1,0
0,1,3,1,3,1,8,9,6,0,1,0,0,1,0
0,0,2,1,3,4,12,12,12,0,1,1,0,1,0
1,4,4,1,4,3,12,10,7,0,1,0,0,0,1
1,4,4,1,3,8,8,8,4,0,1,0,0,0,1
1,3,2,1,5,0,10,10,10,0,0,0,0,1,0
1,2,2,1,3,0,8,7,0,0,0,0,0,0,1
1,0,2,0,4,6,10,12,12,0,0,0,1,1,1
0,3,3,1,2,5,12,12,12,0,1,1,1,1,1
1,3,0,1,5,3,8,4,6,0,1,0,0,0,1
0,2,4,0,2,0,12,12,12,1,1,0,0,1,1
1,0,3,0,4,1,9,8,8,1,0,1,1,1,0
1,2,2,0,2,11,12,10,12,0,0,0,0,1,0
0,0,2,0,2,6,10,9,10,0,1,0,1,1,0
1,0,2,0,2,3,14,12,13,0,0,0,0,1,0
1,2,3,1,5,2,10,11,6,0,1,1,0,1,1
1,0,2,1,3,4,8,7,4,0,0,0,1,0,1
1,2,3,0,3,0,6,8,8,0,0,0,1,0,1
1,2,2,1,3,2,10,10,10,0,0,0,0,0,0
0,1,3,1,2,0,16,16,17,0,0,1,0,1,1
0,2,2,1,1,0,9,10,6,0,1,1,0,1,0
0,1,1,1,4,0,15,15,16,0,1,1,0,1,1
1,2,2,1,4,2,8,7,5,0,1,0,1,1,0
1,2,2,1,3,1,14,16,17,0,1,1,1,1,1
1,4,2,1,4,0,12,10,10,0,1,1,1,1,0
0,0,3,1,3,0,11,10,6,0,0,0,1,1,1
0,2,2,1,4,2,12,12,12,0,1,1,1,1,0
1,4,2,1,4,2,10,10,10,0,0,1,1,1,0
0,3,2,1,4,1,13,12,12,0,0,1,1,1,0
1,2,2,1,3,4,8,7,8,0,0,0,1,1,0
1,4,3,1,3,9,10,8,10,0,1,0,1,1,1
1,2,2,1,2,4,10,10,12,0,1,0,1,1,1
1,4,2,1,4,7,10,9,10,0,1,1,1,1,0
1,3,2,1,2,3,12,14,13,0,0,1,1,1,1
1,3,2,1,2,1,12,12,12,0,0,1,1,1,1
0,3,3,0,4,0,16,18,17,0,1,0,1,1,0
0,2,2,1,3,44,12,11,11,0,1,0,1,1,1
0,2,2,1,2,11,13,14,14,0,1,1,0,1,0
1,3,3,1,3,9,12,12,12,0,1,0,1,1,1
1,3,3,1,3,1,10,10,11,0,1,1,1,1,1
1,2,2,1,2,0,14,14,16,0,0,1,1,1,1
0,1,2,1,3,8,10,10,12,0,1,0,0,1,1
1,0,2,0,1,5,8,9,10,0,0,0,0,1,0
0,3,3,1,3,8,12,12,13,0,0,0,0,1,0
0,0,3,1,3,0,10,10,10,0,0,0,1,1,0
1,0,3,1,4,14,8,10,10,0,0,1,1,1,0
1,3,3,1,3,4,10,10,10,0,1,0,1,1,0
1,2,2,1,3,0,13,13,13,0,0,0,0,1,0
0,3,3,1,3,4,14,15,16,0,0,0,1,1,1
1,3,4,1,2,4,15,14,15,0,0,0,0,1,0
1,4,2,1,3,12,10,10,11,0,1,1,1,1,0
0,3,4,1,2,27,16,16,17,0,1,0,0,1,0
0,4,4,1,5,0,10,10,10,0,1,1,0,1,0
0,1,2,1,3,2,15,15,16,0,1,0,1,1,0
0,2,2,0,4,5,10,11,11,1,1,1,1,1,0
0,2,2,0,4,2,12,12,12,0,1,1,0,1,0
0,2,2,1,3,20,10,10,10,0,1,0,0,1,0
0,3,3,1,3,6,12,12,12,0,1,1,1,1,0
0,0,3,1,4,21,9,9,8,0,1,1,0,1,1
0,3,2,1,3,4,9,9,10,0,1,1,0,1,0
0,4,2,1,3,7,12,14,14,0,0,1,1,1,1
0,0,2,0,3,4,10,11,12,0,1,1,0,1,0
0,4,2,1,4,3,9,10,10,0,1,1,1,1,1
0,2,2,1,3,7,10,10,10,0,1,1,1,1,0
1,3,2,1,3,14,12,12,12,0,1,1,0,1,1
0,2,2,1,3,0,12,13,14,1,1,1,0,1,0
1,3,2,1,4,12,9,9,10,0,1,1,1,1,0
0,3,2,0,2,9,10,10,10,0,1,1,0,1,0
0,2,2,1,4,2,14,16,15,0,0,1,0,1,0
0,2,2,1,4,19,8,8,7,0,0,1,0,1,1
1,3,1,1,2,12,8,8,9,0,1,1,0,1,0
0,0,2,0,3,4,10,10,10,0,1,1,0,1,0
0,0,0,1,3,2,10,11,12,0,1,1,1,1,0
0,0,3,1,2,1,8,8,8,0,1,0,1,1,0
0,0,2,0,3,6,9,8,6,0,1,0,1,1,1
0,3,4,1,3,1,14,14,16,1,0,0,0,1,0
1,2,2,1,3,4,11,11,12,0,1,1,0,1,0
0,4,3,1,3,2,14,14,15,0,1,0,1,1,0
0,2,2,1,3,10,8,8,8,0,0,0,1,1,1
0,2,2,1,3,6,16,16,16,0,0,0,1,1,0
1,3,3,1,3,1,11,11,12,0,1,1,0,1,0
1,0,2,1,3,8,10,9,10,1,1,1,1,1,1
0,2,2,1,2,5,14,12,14,0,0,0,1,1,1
0,1,2,1,2,7,14,12,13,0,0,0,1,1,1
1,2,2,1,5,2,12,12,12,0,1,1,1,1,0
1,4,4,1,5,7,12,11,11,1,1,0,1,1,1
1,1,2,1,2,1,14,13,14,0,1,1,1,1,0
1,2,2,1,4,10,9,8,8,0,1,1,0,1,0
1,0,2,1,3,5,12,10,11,0,0,0,1,1,1
1,2,2,1,4,2,15,14,14,0,0,1,1,1,1
0,2,2,1,5,12,11,11,11,0,0,0,0,1,1
0,0,3,0,1,2,13,12,12,0,0,0,1,1,0
1,2,3,1,5,8,8,7,4,0,0,0,0,0,0
1,1,2,1,5,11,14,14,14,0,0,0,1,1,1
1,4,2,1,3,1,11,12,12,0,1,1,0,1,0
1,4,2,1,4,4,10,7,8,0,0,0,1,1,0
1,3,3,1,3,0,14,12,12,0,0,0,1,1,0
1,3,3,1,3,2,14,14,14,0,0,0,1,1,0
0,2,2,1,4,5,10,5,6,0,1,1,0,1,1
1,2,2,1,3,6,16,17,17,0,0,0,0,1,0
1,2,2,1,2,3,10,12,13,0,0,0,0,1,0
1,3,3,1,4,14,6,8,6,0,0,0,0,0,1
1,2,3,1,3,8,6,7,8,0,1,0,0,1,1
1,2,2,1,3,0,12,14,13,0,0,1,0,1,0
1,3,2,1,4,4,6,8,8,0,0,0,0,0,0
1,0,2,1,3,5,8,10,10,1,1,0,0,1,0
1,3,3,1,2,4,6,8,7,0,0,0,0,0,0
1,2,2,0,3,1,11,11,10,0,0,0,1,1,0
1,2,2,1,4,0,10,12,12,0,0,0,0,1,0
1,1,2,1,4,1,8,10,9,0,1,0,1,1,0
0,4,3,1,2,4,14,14,15,0,1,1,1,1,0
1,3,0,1,3,8,11,12,12,0,1,0,0,1,0
1,2,2,1,2,5,16,15,15,0,0,0,1,1,0
0,3,3,1,4,1,10,10,6,0,0,1,1,1,1
0,3,2,1,1,12,16,16,16,0,1,1,0,1,1
1,4,2,1,3,2,9,9,10,0,1,1,0,1,0
1,2,2,0,3,2,12,12,12,0,0,0,1,1,0
0,2,2,0,2,3,12,10,11,0,0,0,1,1,0
0,0,3,1,3,0,10,11,6,0,1,1,1,1,1
1,2,2,1,2,10,16,16,16,0,1,1,1,1,0
1,3,2,1,4,1,10,10,12,0,0,1,1,1,1
0,4,2,1,3,8,11,10,12,0,0,1,1,1,0
1,1,2,1,4,7,10,10,12,0,1,1,1,1,1
0,2,2,1,3,6,7,4,5,0,1,0,0,0,1
0,2,3,1,3,16,10,10,10,0,1,1,1,1,0
0,2,3,1,5,7,16,15,15,0,1,1,1,1,1
0,2,2,0,4,2,12,12,12,0,1,1,0,1,0
1,0,0,0,5,2,16,16,16,0,1,1,1,1,1
0,0,1,1,3,4,12,13,13,0,1,1,0,1,1
0,3,2,1,4,6,12,12,12,1,1,1,0,1,1
0,2,3,1,1,45,11,9,10,0,0,0,0,0,1
1,4,3,1,2,14,10,10,10,0,0,1,1,1,0
1,4,3,1,2,11,10,10,11,0,0,1,1,1,0
0,1,1,1,4,8,12,10,10,1,1,0,1,1,1
1,4,3,1,2,4,10,10,10,0,0,1,1,1,0
1,3,2,1,5,26,10,10,9,0,0,1,1,1,1
1,4,3,1,4,18,12,11,12,0,0,0,0,1,0
0,0,2,0,2,2,14,14,15,0,1,1,1,1,0
0,2,2,1,4,2,10,11,12,1,0,0,1,1,0
0,2,2,1,4,2,11,12,12,1,0,0,1,1,0
0,2,2,1,4,8,11,10,12,0,1,0,0,1,0
1,2,2,1,3,1,12,11,12,0,0,1,0,1,0
0,0,0,1,3,2,18,18,18,0,1,1,0,1,0
0,3,4,1,3,3,13,12,13,0,1,1,0,1,0
1,3,3,1,2,3,14,14,14,0,0,1,1,1,0
1,4,4,1,4,4,16,15,16,0,1,1,1,1,0
1,4,2,1,3,6,14,14,14,0,1,1,1,1,1
0,1,3,1,2,0,16,16,16,0,1,1,0,1,0
0,3,2,0,1,3,18,18,18,0,1,1,0,1,0
1,3,2,1,4,4,14,14,14,0,1,1,1,1,0
1,1,2,1,4,2,14,14,13,0,1,1,0,1,0
0,1,2,1,3,1,12,11,6,0,1,1,1,1,0
0,2,2,1,4,5,12,11,11,0,1,1,0,1,1
0,2,2,1,3,0,15,15,16,0,1,1,0,1,0
1,4,4,1,4,2,17,16,16,0,1,1,0,1,1
0,1,2,1,2,7,13,12,13,0,1,0,0,1,1
1,2,4,1,1,0,12,12,12,0,0,1,0,1,0
0,2,2,1,3,0,16,14,15,0,1,1,0,1,0
0,1,1,1,2,0,18,18,18,0,1,1,1,1,0
1,3,2,0,5,0,16,16,16,0,0,0,1,1,0
1,2,3,0,5,0,12,11,12,0,0,0,1,1,1
0,3,2,1,3,1,10,10,8,0,1,1,1,1,0
0,2,2,1,3,6,12,12,13,0,1,1,1,1,1
0,0,3,1,3,1,13,13,14,0,1,1,1,1,0
0,4,2,1,4,1,12,11,12,0,1,1,0,1,0
0,3,3,1,2,18,14,14,15,0,1,1,0,1,1
0,2,2,0,2,8,12,11,11,0,1,0,0,1,1
0,3,3,1,3,2,11,11,10,0,1,1,1,1,0
0,3,3,1,4,0,14,16,16,0,1,0,0,1,0
0,0,0,1,3,0,15,14,15,0,0,0,0,1,0
1,2,2,1,3,2,11,13,12,0,0,0,1,1,0
1,2,3,1,3,2,16,16,16,0,0,0,1,1,0
1,3,2,1,4,5,11,10,10,0,1,0,0,1,0
0,4,3,1,4,4,10,10,10,0,1,1,1,1,0
0,4,3,1,4,4,12,10,11,0,1,1,1,1,0
0,4,4,1,3,4,14,14,14,0,1,1,0,1,1
1,2,2,1,5,1,10,10,10,0,1,0,1,1,0
0,0,2,1,4,4,14,14,14,0,1,0,0,1,1
0,3,3,1,3,4,8,6,6,0,0,0,1,1,0
0,2,2,1,3,0,9,8,6,0,0,0,1,1,1
0,0,2,0,4,3,12,11,7,0,0,0,1,1,0
0,3,2,1,4,12,14,14,14,0,0,0,0,1,0
0,2,2,1,3,0,10,10,8,0,1,1,0,1,1
0,3,3,1,3,6,15,14,16,0,1,0,0,1,0
0,2,2,1,3,2,12,12,13,0,1,1,0,1,0
1,4,3,1,2,3,10,11,6,0,1,0,1,1,0
1,4,3,1,3,0,11,11,6,0,1,0,1,1,0
1,3,2,1,3,8,16,16,16,0,0,0,1,1,1
0,0,0,1,3,9,10,10,7,0,1,0,0,1,1
0,0,2,1,3,2,11,11,12,0,1,0,0,1,0
0,2,3,1,4,6,14,14,16,0,0,0,0,1,1
1,4,3,1,3,6,16,14,16,0,0,0,0,1,1
1,4,2,1,4,0,12,12,12,0,1,1,0,1,1
0,1,2,1,4,0,12,14,14,0,1,1,1,1,1
1,2,2,1,5,9,10,12,12,0,1,0,0,1,0
1,2,3,1,4,8,9,8,10,0,0,0,0,1,0
1,1,2,1,5,3,10,11,12,0,1,1,0,1,0
1,0,3,1,3,4,8,8,8,0,0,0,0,0,1
1,2,2,1,4,4,8,8,9,0,1,0,0,1,0
1,3,2,1,5,4,12,11,11,0,1,1,1,1,1
0,3,3,0,3,0,10,10,10,0,1,0,0,1,1
0,4,3,1,3,3,12,12,12,0,1,1,1,1,0
0,3,2,0,2,1,14,13,13,0,0,0,0,1,1
1,2,3,1,3,3,12,12,12,0,0,0,0,1,1
0,0,3,1,3,0,18,16,17,0,0,0,0,1,0
0,3,3,1,3,3,12,12,12,0,1,0,0,1,1
0,0,0,1,3,2,16,14,15,0,1,1,1,1,1
0,2,3,0,2,0,12,12,12,0,0,0,0,1,0
1,0,2,0,3,2,9,10,10,0,1,1,0,1,0
1,4,3,1,2,0,14,14,14,0,0,1,0,1,1
0,2,3,1,2,0,8,7,4,0,1,1,0,1,1
0,0,3,1,2,0,10,10,10,0,1,1,0,1,1
0,2,4,1,2,5,10,8,6,0,1,1,0,1,1
1,0,3,1,3,3,12,11,11,0,1,1,1,0,1
0,2,0,0,4,8,12,11,12,0,0,0,1,1,1
0,2,2,1,5,9,6,6,7,0,0,0,1,1,0
0,2,2,1,4,0,17,18,18,0,0,0,0,1,0
0,2,2,1,3,3,9,10,11,0,0,0,0,1,0
0,4,3,1,4,2,10,12,12,0,0,1,1,1,0
0,2,2,1,1,0,16,16,16,0,0,1,0,1,1
0,0,2,1,5,14,9,10,10,0,1,1,1,1,0
1,4,4,1,2,4,16,16,16,0,0,1,1,1,0
1,2,2,1,4,2,7,6,4,0,0,0,1,1,1
1,2,3,1,4,3,12,13,13,0,0,0,1,1,0
1,2,3,0,3,0,6,6,0,0,0,0,0,1,0
1,2,2,0,4,7,6,6,2,0,0,1,0,1,0
0,0,2,0,3,1,12,13,12,0,0,1,0,1,0
0,4,0,1,4,6,6,7,8,0,1,1,1,1,1
0,3,2,1,4,2,8,8,5,0,0,0,1,1,0
0,4,3,1,3,2,11,12,12,0,1,1,0,1,0
0,2,2,0,2,2,6,6,4,0,0,0,1,1,0
0,2,2,0,1,3,8,8,4,0,0,0,1,1,0
1,3,3,1,4,4,12,13,13,0,0,0,0,1,0
1,3,2,1,4,2,10,12,10,0,0,0,0,1,0
