gender,mother_job,father_job,internet,freetime,absences,grade_1,grade_2,G3,school_support,family_support,extra_paid_class,extracurricular,higher_edu,romantic_rel
M,teacher,other,yes,3,12,10,10,11,no,yes,yes,yes,yes,no
F,services,teacher,yes,2,27,16,16,17,no,yes,no,no,yes,no
F,teacher,teacher,yes,5,0,10,10,10,no,yes,yes,no,yes,no
F,health,other,yes,3,2,15,15,16,no,yes,no,yes,yes,no
F,other,other,no,4,5,10,11,11,yes,yes,yes,yes,yes,no
F,other,other,no,4,2,12,12,12,no,yes,yes,no,yes,no
F,other,other,yes,3,20,10,10,10,no,yes,no,no,yes,no
F,services,services,yes,3,6,12,12,12,no,yes,yes,yes,yes,no
F,at_home,services,yes,4,21,9,9,8,no,yes,yes,no,yes,yes
F,services,other,yes,3,4,9,9,10,no,yes,yes,no,yes,no
F,teacher,other,yes,3,7,12,14,14,no,no,yes,yes,yes,yes
F,at_home,other,no,3,4,10,11,12,no,yes,yes,no,yes,no
F,teacher,other,yes,4,3,9,10,10,no,yes,yes,yes,yes,yes
F,other,other,yes,3,7,10,10,10,no,yes,yes,yes,yes,no
M,services,other,yes,3,14,12,12,12,no,yes,yes,no,yes,yes
F,other,other,yes,3,0,12,13,14,yes,yes,yes,no,yes,no
M,services,other,yes,4,12,9,9,10,no,yes,yes,yes,yes,no
F,services,other,no,2,9,10,10,10,no,yes,yes,no,yes,no
F,other,other,yes,4,2,14,16,15,no,no,yes,no,yes,no
F,other,other,yes,4,19,8,8,7,no,no,yes,no,yes,yes
M,services,health,yes,2,12,8,8,9,no,yes,yes,no,yes,no
F,at_home,other,no,3,4,10,10,10,no,yes,yes,no,yes,no
F,at_home,at_home,yes,3,2,10,11,12,no,yes,yes,yes,yes,no
F,at_home,services,yes,2,1,8,8,8,no,yes,no,yes,yes,no
F,at_home,other,no,3,6,9,8,6,no,yes,no,yes,yes,yes
F,services,teacher,yes,3,1,14,14,16,yes,no,no,no,yes,no
M,other,other,yes,3,4,11,11,12,no,yes,yes,no,yes,no
F,teacher,services,yes,3,2,14,14,15,no,yes,no,yes,yes,no
F,other,other,yes,3,10,8,8,8,no,no,no,yes,yes,yes
F,other,other,yes,3,6,16,16,16,no,no,no,yes,yes,no
M,services,services,yes,3,1,11,11,12,no,yes,yes,no,yes,no
M,at_home,other,yes,3,8,10,9,10,yes,yes,yes,yes,yes,yes
F,other,other,yes,2,5,14,12,14,no,no,no,yes,yes,yes
F,health,other,yes,2,7,14,12,13,no,no,no,yes,yes,yes
M,other,other,yes,5,2,12,12,12,no,yes,yes,yes,yes,no
M,teacher,teacher,yes,5,7,12,11,11,yes,yes,no,yes,yes,yes
M,health,other,yes,2,1,14,13,14,no,yes,yes,yes,yes,no
M,other,other,yes,4,10,9,8,8,no,yes,yes,no,yes,no
M,at_home,other,yes,3,5,12,10,11,no,no,no,yes,yes,yes
M,other,other,yes,4,2,15,14,14,no,no,yes,yes,yes,yes
F,other,other,yes,5,12,11,11,11,no,no,no,no,yes,yes
F,at_home,services,no,1,2,13,12,12,no,no,no,yes,yes,no
M,other,services,yes,5,8,8,7,4,no,no,no,no,no,no
M,health,other,yes,5,11,14,14,14,no,no,no,yes,yes,yes
M,teacher,other,yes,3,1,11,12,12,no,yes,yes,no,yes,no
M,teacher,other,yes,4,4,10,7,8,no,no,no,yes,yes,no
M,services,services,yes,3,0,14,12,12,no,no,no,yes,yes,no
M,services,services,yes,3,2,14,14,14,no,no,no,yes,yes,no
F,other,other,yes,4,5,10,5,6,no,yes,yes,no,yes,yes
M,other,other,yes,3,6,16,17,17,no,no,no,no,yes,no
M,other,other,yes,2,3,10,12,13,no,no,no,no,yes,no
M,services,services,yes,4,14,6,8,6,no,no,no,no,no,yes
M,other,services,yes,3,8,6,7,8,no,yes,no,no,yes,yes
M,other,other,yes,3,0,12,14,13,no,no,yes,no,yes,no
M,services,other,yes,4,4,6,8,8,no,no,no,no,no,no
M,at_home,other,yes,3,5,8,10,10,yes,yes,no,no,yes,no
M,services,services,yes,2,4,6,8,7,no,no,no,no,no,no
M,other,other,no,3,1,11,11,10,no,no,no,yes,yes,no
M,other,other,yes,4,0,10,12,12,no,no,no,no,yes,no
M,health,other,yes,4,1,8,10,9,no,yes,no,yes,yes,no
F,teacher,services,yes,2,4,14,14,15,no,yes,yes,yes,yes,no
M,services,at_home,yes,3,8,11,12,12,no,yes,no,no,yes,no
M,other,other,yes,2,5,16,15,15,no,no,no,yes,yes,no
F,services,services,yes,4,1,10,10,6,no,no,yes,yes,yes,yes
F,services,other,yes,1,12,16,16,16,no,yes,yes,no,yes,yes
M,teacher,other,yes,3,2,9,9,10,no,yes,yes,no,yes,no
M,other,other,no,3,2,12,12,12,no,no,no,yes,yes,no
F,other,other,no,2,3,12,10,11,no,no,no,yes,yes,no
F,at_home,services,yes,3,0,10,11,6,no,yes,yes,yes,yes,yes
M,other,other,yes,2,10,16,16,16,no,yes,yes,yes,yes,no
M,services,other,yes,4,1,10,10,12,no,no,yes,yes,yes,yes
F,teacher,other,yes,3,8,11,10,12,no,no,yes,yes,yes,no
M,health,other,yes,4,7,10,10,12,no,yes,yes,yes,yes,yes
F,other,other,yes,3,6,7,4,5,no,yes,no,no,no,yes
F,other,services,yes,3,16,10,10,10,no,yes,yes,yes,yes,no
F,other,services,yes,5,7,16,15,15,no,yes,yes,yes,yes,yes
F,other,other,no,4,2,12,12,12,no,yes,yes,no,yes,no
M,at_home,at_home,no,5,2,16,16,16,no,yes,yes,yes,yes,yes
F,at_home,health,yes,3,4,12,13,13,no,yes,yes,no,yes,yes
F,services,other,yes,4,6,12,12,12,yes,yes,yes,no,yes,yes
F,other,services,yes,1,45,11,9,10,no,no,no,no,no,yes
M,teacher,services,yes,2,14,10,10,10,no,no,yes,yes,yes,no
M,teacher,services,yes,2,11,10,10,11,no,no,yes,yes,yes,no
F,health,health,yes,4,8,12,10,10,yes,yes,no,yes,yes,yes
M,teacher,services,yes,2,4,10,10,10,no,no,yes,yes,yes,no
M,services,other,yes,5,26,10,10,9,no,no,yes,yes,yes,yes
M,teacher,services,yes,4,18,12,11,12,no,no,no,no,yes,no
F,at_home,other,no,2,2,14,14,15,no,yes,yes,yes,yes,no
F,other,other,yes,4,2,10,11,12,yes,no,no,yes,yes,no
F,other,other,yes,4,2,11,12,12,yes,no,no,yes,yes,no
F,other,other,yes,4,8,11,10,12,no,yes,no,no,yes,no
M,other,other,yes,3,1,12,11,12,no,no,yes,no,yes,no
F,at_home,at_home,yes,3,2,18,18,18,no,yes,yes,no,yes,no
F,services,teacher,yes,3,3,13,12,13,no,yes,yes,no,yes,no
M,services,services,yes,2,3,14,14,14,no,no,yes,yes,yes,no
M,teacher,teacher,yes,4,4,16,15,16,no,yes,yes,yes,yes,no
M,teacher,other,yes,3,6,14,14,14,no,yes,yes,yes,yes,yes
F,health,services,yes,2,0,16,16,16,no,yes,yes,no,yes,no
F,services,other,no,1,3,18,18,18,no,yes,yes,no,yes,no
M,services,other,yes,4,4,14,14,14,no,yes,yes,yes,yes,no
M,health,other,yes,4,2,14,14,13,no,yes,yes,no,yes,no
F,health,other,yes,3,1,12,11,6,no,yes,yes,yes,yes,no
F,other,other,yes,4,5,12,11,11,no,yes,yes,no,yes,yes
F,other,other,yes,3,0,15,15,16,no,yes,yes,no,yes,no
M,teacher,teacher,yes,4,2,17,16,16,no,yes,yes,no,yes,yes
F,health,other,yes,2,7,13,12,13,no,yes,no,no,yes,yes
M,other,teacher,yes,1,0,12,12,12,no,no,yes,no,yes,no
F,other,other,yes,3,0,16,14,15,no,yes,yes,no,yes,no
F,health,health,yes,2,0,18,18,18,no,yes,yes,yes,yes,no
M,services,other,no,5,0,16,16,16,no,no,no,yes,yes,no
M,other,services,no,5,0,12,11,12,no,no,no,yes,yes,yes
F,services,other,yes,3,1,10,10,8,no,yes,yes,yes,yes,no
F,other,other,yes,3,6,12,12,13,no,yes,yes,yes,yes,yes
F,at_home,services,yes,3,1,13,13,14,no,yes,yes,yes,yes,no
F,teacher,other,yes,4,1,12,11,12,no,yes,yes,no,yes,no
F,services,services,yes,2,18,14,14,15,no,yes,yes,no,yes,yes
F,other,other,no,2,8,12,11,11,no,yes,no,no,yes,yes
F,services,services,yes,3,2,11,11,10,no,yes,yes,yes,yes,no
F,services,services,yes,4,0,14,16,16,no,yes,no,no,yes,no
F,at_home,at_home,yes,3,0,15,14,15,no,no,no,no,yes,no
M,other,other,yes,3,2,11,13,12,no,no,no,yes,yes,no
M,other,services,yes,3,2,16,16,16,no,no,no,yes,yes,no
M,services,other,yes,4,5,11,10,10,no,yes,no,no,yes,no
F,teacher,services,yes,4,4,10,10,10,no,yes,yes,yes,yes,no
F,teacher,services,yes,4,4,12,10,11,no,yes,yes,yes,yes,no
F,teacher,teacher,yes,3,4,14,14,14,no,yes,yes,no,yes,yes
M,other,other,yes,5,1,10,10,10,no,yes,no,yes,yes,no
F,at_home,other,yes,4,4,14,14,14,no,yes,no,no,yes,yes
F,services,services,yes,3,4,8,6,6,no,no,no,yes,yes,no
F,other,other,yes,3,0,9,8,6,no,no,no,yes,yes,yes
F,at_home,other,no,4,3,12,11,7,no,no,no,yes,yes,no
F,services,other,yes,4,12,14,14,14,no,no,no,no,yes,no
F,other,other,yes,3,0,10,10,8,no,yes,yes,no,yes,yes
F,services,services,yes,3,6,15,14,16,no,yes,no,no,yes,no
F,other,other,yes,3,2,12,12,13,no,yes,yes,no,yes,no
M,teacher,services,yes,2,3,10,11,6,no,yes,no,yes,yes,no
M,teacher,services,yes,3,0,11,11,6,no,yes,no,yes,yes,no
M,services,other,yes,3,8,16,16,16,no,no,no,yes,yes,yes
F,at_home,at_home,yes,3,9,10,10,7,no,yes,no,no,yes,yes
F,at_home,other,yes,3,2,11,11,12,no,yes,no,no,yes,no
F,other,services,yes,4,6,14,14,16,no,no,no,no,yes,yes
M,teacher,services,yes,3,6,16,14,16,no,no,no,no,yes,yes
M,teacher,other,yes,4,0,12,12,12,no,yes,yes,no,yes,yes
F,health,other,yes,4,0,12,14,14,no,yes,yes,yes,yes,yes
M,other,other,yes,5,9,10,12,12,no,yes,no,no,yes,no
M,other,services,yes,4,8,9,8,10,no,no,no,no,yes,no
M,health,other,yes,5,3,10,11,12,no,yes,yes,no,yes,no
M,at_home,services,yes,3,4,8,8,8,no,no,no,no,no,yes
M,other,other,yes,4,4,8,8,9,no,yes,no,no,yes,no
M,services,other,yes,5,4,12,11,11,no,yes,yes,yes,yes,yes
F,services,services,no,3,0,10,10,10,no,yes,no,no,yes,yes
F,teacher,services,yes,3,3,12,12,12,no,yes,yes,yes,yes,no
F,services,other,no,2,1,14,13,13,no,no,no,no,yes,yes
M,other,services,yes,3,3,12,12,12,no,no,no,no,yes,yes
F,at_home,services,yes,3,0,18,16,17,no,no,no,no,yes,no
F,services,services,yes,3,3,12,12,12,no,yes,no,no,yes,yes
F,at_home,at_home,yes,3,2,16,14,15,no,yes,yes,yes,yes,yes
F,other,services,no,2,0,12,12,12,no,no,no,no,yes,no
M,at_home,other,no,3,2,9,10,10,no,yes,yes,no,yes,no
M,teacher,services,yes,2,0,14,14,14,no,no,yes,no,yes,yes
F,other,services,yes,2,0,8,7,4,no,yes,yes,no,yes,yes
F,at_home,services,yes,2,0,10,10,10,no,yes,yes,no,yes,yes
F,other,teacher,yes,2,5,10,8,6,no,yes,yes,no,yes,yes
M,at_home,services,yes,3,3,12,11,11,no,yes,yes,yes,no,yes
F,other,at_home,no,4,8,12,11,12,no,no,no,yes,yes,yes
F,other,other,yes,5,9,6,6,7,no,no,no,yes,yes,no
F,other,other,yes,4,0,17,18,18,no,no,no,no,yes,no
F,other,other,yes,3,3,9,10,11,no,no,no,no,yes,no
F,teacher,services,yes,4,2,10,12,12,no,no,yes,yes,yes,no
F,other,other,yes,1,0,16,16,16,no,no,yes,no,yes,yes
F,at_home,other,yes,5,14,9,10,10,no,yes,yes,yes,yes,no
M,teacher,teacher,yes,2,4,16,16,16,no,no,yes,yes,yes,no
M,other,other,yes,4,2,7,6,4,no,no,no,yes,yes,yes
M,other,services,yes,4,3,12,13,13,no,no,no,yes,yes,no
M,other,services,no,3,0,6,6,0,no,no,no,no,yes,no
M,other,other,no,4,7,6,6,2,no,no,yes,no,yes,no
F,at_home,other,no,3,1,12,13,12,no,no,yes,no,yes,no
F,teacher,at_home,yes,4,6,6,7,8,no,yes,yes,yes,yes,yes
F,services,other,yes,4,2,8,8,5,no,no,no,yes,yes,no
F,teacher,services,yes,3,2,11,12,12,no,yes,yes,no,yes,no
F,other,other,no,2,2,6,6,4,no,no,no,yes,yes,no
F,other,other,no,1,3,8,8,4,no,no,no,yes,yes,no
M,services,services,yes,4,4,12,13,13,no,no,no,no,yes,no
M,services,other,yes,4,2,10,12,10,no,no,no,no,yes,no
